"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)"
0,-4.69360351562,-0.263595581055
0.05,-4.67262268066,-0.284576416016
0.1,-4.64553833008,-0.317764282227
0.15,-4.63047027588,-0.323677062988
0.2,-4.60338592529,-0.356864929199
0.25,-4.58240509033,-0.374984741211
0.3,-4.56733703613,-0.392913818359
0.35,-4.53720092773,-0.419998168945
0.4,-4.51927185059,-0.438117980957
0.45,-4.49810028076,-0.456047058105
0.5,-4.48608398438,-0.47721862793
0.55,-4.4620513916,-0.498199462891
0.6,-4.43801879883,-0.51326751709
0.65,-4.41398620605,-0.540351867676
0.7,-4.39891815186,-0.558471679688
0.75,-4.37488555908,-0.573539733887
0.8,-4.35676574707,-0.600624084473
0.85,-4.34474945068,-0.615501403809
0.9,-4.32376861572,-0.63362121582
0.95,-4.29668426514,-0.651741027832
1,-4.27856445312,-0.678825378418
1.05,-4.25758361816,-0.720977783203
1.1,-4.2366027832,-0.726890563965
1.15,-4.21543121338,-0.745010375977
1.2,-4.20036315918,-0.765991210938
1.25,-4.17633056641,-0.787162780762
1.3,-4.15840148926,-0.796127319336
1.35,-4.14333343506,-0.817108154297
1.4,-4.11930084229,-0.844192504883
1.45,-4.10118103027,-0.85334777832
1.5,-4.0922164917,-0.871276855469
1.55,-4.07123565674,-0.892448425293
1.6,-4.04415130615,-0.907325744629
1.65,-4.03213500977,-0.931549072266
1.7,-4.00810241699,-0.955581665039
1.75,-3.99589538574,-0.961494445801
1.8,-3.97491455078,-0.979614257812
1.85,-3.96289825439,-0.997734069824
1.9,-3.95088195801,-1.01566314697
1.95,-3.92684936523,-1.03378295898
2,-3.90281677246,-1.051902771
2.05,-3.89366149902,-1.06983184814
2.1,-3.87268066406,-1.09100341797
2.15,-3.85761260986,-1.10893249512
2.2,-3.83358001709,-1.13010406494
2.25,-3.82461547852,-1.14517211914
2.3,-3.81259918213,-1.16004943848
2.35,-3.77941131592,-1.17816925049
2.4,-3.76148223877,-1.19915008545
2.45,-3.74641418457,-1.21421813965
2.5,-3.72829437256,-1.23538970947
2.55,-3.71932983398,-1.24435424805
2.6,-3.6922454834,-1.25942230225
2.65,-3.67431640625,-1.28650665283
2.7,-3.65619659424,-1.29547119141
2.75,-3.65028381348,-1.31053924561
2.8,-3.62319946289,-1.33171081543
2.85,-3.60813140869,-1.340675354
2.9,-3.59001159668,-1.35860443115
2.95,-3.57799530029,-1.37672424316
3,-3.57208251953,-1.39484405518
3.05,-3.54194641113,-1.41277313232
